case_id,label,region,n_voxels,volume_mm3
001,1,sacro,458539,223895.99943006033
001,11,coxal_izquierdo,762194,372165.04460819124
001,12,coxal_izquierdo,63957,31229.00437159842
001,21,coxal_derecho,844349,412279.79129969754
002,1,sacro,323928,176044.90604124224
002,2,sacro,39087,21242.58243323836
002,11,coxal_izquierdo,502549,273119.9262988079
002,21,coxal_derecho,470491,255697.38919837156
002,22,coxal_derecho,15260,8293.34069975228
002,23,coxal_derecho,19132,10397.653621733985
003,1,sacro,314254,181401.1746749878
003,11,coxal_izquierdo,408902,236036.14632415771
003,12,coxal_izquierdo,33507,19341.708171844482
003,13,coxal_izquierdo,62245,35930.54063796997
003,14,coxal_izquierdo,6800,3925.2578735351562
003,21,coxal_derecho,486868,281041.536819458
004,1,sacro,167936,119556.0
004,2,sacro,42193,30037.7900390625
004,11,coxal_izquierdo,287370,204582.744140625
004,12,coxal_izquierdo,28827,20522.3466796875
004,21,coxal_derecho,300663,214046.2177734375
004,22,coxal_derecho,14254,10147.623046875
005,1,sacro,194475,156296.49152755737
005,11,coxal_izquierdo,215989,173586.95415115356
005,12,coxal_izquierdo,84947,68270.56467819214
005,21,coxal_derecho,268945,216146.85647964478
005,22,coxal_derecho,26587,21367.55274581909
005,23,coxal_derecho,8812,7082.065475463867
006,1,sacro,76023,50187.05859375
006,2,sacro,52875,34905.76171875
006,3,sacro,33603,22183.23046875
006,4,sacro,68271,45069.52734375
006,11,coxal_izquierdo,306675,202453.41796875
006,21,coxal_derecho,287393,189724.28515625
006,22,coxal_derecho,16864,11132.875
007,1,sacro,245006,171208.1112060547
007,11,coxal_izquierdo,374442,261656.88830566406
007,12,coxal_izquierdo,21510,15031.005249023438
007,13,coxal_izquierdo,12982,9071.711303710938
007,21,coxal_derecho,403152,281719.1923828125
007,22,coxal_derecho,5612,3921.617919921875
007,23,coxal_derecho,3456,2415.0234375
008,1,sacro,346694,152778.97444455285
008,11,coxal_izquierdo,381781,168240.8972823753
008,12,coxal_izquierdo,51991,22911.073339448467
008,13,coxal_izquierdo,159838,70436.42438942826
008,21,coxal_derecho,585742,258121.1732798989
009,1,sacro,429559,226860.8671579403
009,11,coxal_izquierdo,596773,315170.76880346006
009,21,coxal_derecho,418704,221128.0697703883
009,22,coxal_derecho,122704,64803.05579384416
009,23,coxal_derecho,61897,32689.35604765592
010,1,sacro,273185,195325.43993848356
010,11,coxal_izquierdo,217073,155205.7368587823
010,12,coxal_izquierdo,26758,19131.790258886627
010,13,coxal_izquierdo,99776,71339.16977616683
010,21,coxal_derecho,351510,251327.288807132
011,1,sacro,241509,183803.03234967391
011,11,coxal_izquierdo,285628,217380.27371225363
011,12,coxal_izquierdo,124802,94981.90975617475
011,13,coxal_izquierdo,4960,3774.8615598357937
011,21,coxal_derecho,376135,286261.6033888783
011,22,coxal_derecho,50139,38158.82736867074
012,1,sacro,264793,204546.28944396973
012,11,coxal_izquierdo,231038,178471.35543823242
012,12,coxal_izquierdo,24424,18866.958618164062
012,13,coxal_izquierdo,106233,82062.46376037598
012,21,coxal_derecho,356109,275085.72578430176
013,1,sacro,342477,167225.10014809814
013,11,coxal_izquierdo,591746,288938.4808680188
013,21,coxal_derecho,519217,253523.92955905088
013,22,coxal_derecho,78389,38275.87947660504
013,23,coxal_derecho,16809,8207.519653551572
014,1,sacro,223639,139242.03118896484
014,2,sacro,82228,51196.766845703125
014,11,coxal_izquierdo,530631,330381.27630615234
014,21,coxal_derecho,380491,236901.16522216797
014,22,coxal_derecho,67747,42180.61199951172
014,23,coxal_derecho,66176,41202.4765625
014,24,coxal_derecho,12550,7813.8763427734375
015,1,sacro,220459,146940.14860534668
015,2,sacro,65298,43522.3684387207
015,11,coxal_izquierdo,357645,238377.2467803955
015,12,coxal_izquierdo,43180,28780.29754638672
015,13,coxal_izquierdo,10965,7308.38264465332
015,21,coxal_derecho,412583,274994.4766693115
016,1,sacro,340237,207664.1845703125
016,11,coxal_izquierdo,554692,338557.12890625
016,12,coxal_izquierdo,30174,18416.748046875
016,21,coxal_derecho,460496,281064.453125
016,22,coxal_derecho,16228,9904.78515625
016,23,coxal_derecho,117465,71694.9462890625
017,1,sacro,249872,152509.765625
017,11,coxal_izquierdo,239511,146185.9130859375
017,12,coxal_izquierdo,31163,19020.3857421875
017,13,coxal_izquierdo,116132,70881.34765625
017,21,coxal_derecho,381595,232907.1044921875
018,1,sacro,482893,235787.601169759
018,11,coxal_izquierdo,729897,356395.02484194963
018,21,coxal_derecho,528200,257910.1600931608
018,22,coxal_derecho,220968,107894.5328577538
019,1,sacro,365735,140118.4002661178
019,2,sacro,112121,42955.186559222915
019,11,coxal_izquierdo,644491,246913.8800112391
019,21,coxal_derecho,636109,243702.61384576245
020,1,sacro,353934,172924.09183363363
020,2,sacro,25216,12319.963325583034
020,11,coxal_izquierdo,601125,293695.98485450115
020,12,coxal_izquierdo,39293,19197.664933063694
020,21,coxal_derecho,638419,311916.9839132057
021,1,sacro,410407,200515.51350581204
021,11,coxal_izquierdo,546320,266919.5099949446
021,12,coxal_izquierdo,118234,57766.43971434741
021,13,coxal_izquierdo,53100,25943.45068958039
021,21,coxal_derecho,502888,245699.62392432586
021,22,coxal_derecho,222417,108667.88082908477
021,23,coxal_derecho,10067,4918.506932052839
022,1,sacro,243779,175160.359664917
022,11,coxal_izquierdo,456034,327670.0596008301
022,21,coxal_derecho,458011,329090.57585144043
023,1,sacro,377829,182646.5631342435
023,11,coxal_izquierdo,661677,319861.70980781474
023,12,coxal_izquierdo,1670,807.295788396832
023,21,coxal_derecho,631650,305346.338168179
023,22,coxal_derecho,69307,33503.742039772
024,1,sacro,346528,168872.96445161448
024,2,sacro,77090,37568.15273102018
024,11,coxal_izquierdo,543290,264760.69136380794
024,12,coxal_izquierdo,39630,19312.827769235046
024,13,coxal_izquierdo,2681,1306.5276621074731
024,14,coxal_izquierdo,3272,1594.5387953806983
024,21,coxal_derecho,555108,270519.93937230704
024,22,coxal_derecho,21769,10608.65373980514
024,23,coxal_derecho,16174,7882.05087912207
025,1,sacro,273072,165007.38940429688
025,11,coxal_izquierdo,388128,234531.50830078125
025,12,coxal_izquierdo,19413,11730.563552856445
025,13,coxal_izquierdo,5460,3299.2776489257812
025,21,coxal_derecho,229284,138547.9077758789
025,22,coxal_derecho,53000,32025.955200195312
025,23,coxal_derecho,119370,72130.91079711914
025,24,coxal_derecho,14126,8535.823455810547
026,1,sacro,281346,186626.33740997314
026,11,coxal_izquierdo,265707,176252.45866012573
026,12,coxal_izquierdo,47025,31193.27630996704
026,13,coxal_izquierdo,135616,89958.68920898438
026,21,coxal_derecho,453528,300840.4937438965
027,1,sacro,271763,150135.11241720463
027,11,coxal_izquierdo,427166,235987.2956613212
027,21,coxal_derecho,265035,146418.2376537418
027,22,coxal_derecho,36568,20201.943571686872
027,23,coxal_derecho,132654,73284.52807259216
028,1,sacro,286320,198212.46459960938
028,2,sacro,21032,14559.948852539062
028,11,coxal_izquierdo,420240,290922.0666503906
028,12,coxal_izquierdo,29673,20541.90577697754
028,21,coxal_derecho,345126,238922.4471130371
028,22,coxal_derecho,47319,32757.80809020996
028,23,coxal_derecho,55763,38603.386642456055
029,1,sacro,261211,128182.93572375512
029,2,sacro,48881,23987.160116200597
029,11,coxal_izquierdo,493776,242308.54470115312
029,21,coxal_derecho,445227,218484.3054981617
029,22,coxal_derecho,42330,20772.4164341722
030,1,sacro,352258,209659.78412628174
030,11,coxal_izquierdo,573261,341198.1488227844
030,12,coxal_izquierdo,31645,18834.728717803955
030,21,coxal_derecho,469101,279203.35206985474
030,22,coxal_derecho,16548,9849.173355102539
030,23,coxal_derecho,142687,84925.61025619507
031,1,sacro,274106,167301.025390625
031,2,sacro,2563,1564.3310546875
031,11,coxal_izquierdo,441639,269555.0537109375
031,12,coxal_izquierdo,25274,15426.025390625
031,21,coxal_derecho,361669,220745.2392578125
031,22,coxal_derecho,15231,9296.2646484375
031,23,coxal_derecho,73090,44610.595703125
031,24,coxal_derecho,24863,15175.1708984375
032,1,sacro,329735,161101.01154668155
032,11,coxal_izquierdo,454069,221847.77233836305
032,12,coxal_izquierdo,48461,23676.9409391291
032,21,coxal_derecho,407783,199233.48686533258
032,22,coxal_derecho,44611,21795.918619828073
032,23,coxal_derecho,44605,21792.98715647332
033,1,sacro,400313,204360.22934220175
033,2,sacro,95209,48604.29982399194
033,11,coxal_izquierdo,695921,355268.4403555577
033,21,coxal_derecho,616314,314628.9787911203
033,22,coxal_derecho,63889,32615.40517655916
034,1,sacro,283108,163636.4234262648
034,11,coxal_izquierdo,272145,157299.809448482
034,12,coxal_izquierdo,38201,22080.177922583403
034,13,coxal_izquierdo,123950,71643.09974880796
034,21,coxal_derecho,443275,256212.94910167687
035,1,sacro,435780,227604.07837725413
035,11,coxal_izquierdo,586066,306097.1402961215
035,12,coxal_izquierdo,60383,31537.5121957266
035,21,coxal_derecho,703725,367549.40579198947
036,1,sacro,350015,213632.2021484375
036,11,coxal_izquierdo,420732,256794.43359375
036,12,coxal_izquierdo,31673,19331.6650390625
036,13,coxal_izquierdo,77763,47462.7685546875
036,14,coxal_izquierdo,6853,4182.7392578125
036,21,coxal_derecho,513288,313286.1328125
037,1,sacro,280177,172036.63360371138
037,2,sacro,1543,947.4458133627195
037,11,coxal_izquierdo,414589,254569.41822179942
037,12,coxal_izquierdo,30447,18695.32254015212
037,21,coxal_derecho,403251,247607.56428018794
037,22,coxal_derecho,24509,15049.221931112697
038,1,sacro,261624,128155.53728468026
038,2,sacro,64333,31513.2792868213
038,11,coxal_izquierdo,546156,267532.47263726505
038,21,coxal_derecho,489485,239772.39537577485
038,22,coxal_derecho,54541,26716.70473291344
038,23,coxal_derecho,1059,518.7471867430985
039,1,sacro,99734,118755.27581945299
039,2,sacro,47335,56362.73468339591
039,3,sacro,28691,34162.949631378724
039,11,coxal_izquierdo,169390,201696.07326545755
039,12,coxal_izquierdo,81082,96545.9650068471
039,21,coxal_derecho,230509,274471.69344322185
039,22,coxal_derecho,13887,16535.529661948218
039,23,coxal_derecho,1596,1900.389237450087
039,24,coxal_derecho,3290,3917.4690421120217
040,1,sacro,238276,116718.60686345471
040,2,sacro,72903,35711.26171400577
040,11,coxal_izquierdo,377010,184676.93755808834
040,12,coxal_izquierdo,29658,14527.860306352044
040,21,coxal_derecho,377846,185086.4490293983
040,22,coxal_derecho,29543,14471.52798673405
041,1,sacro,347406,169957.6902077248
041,2,sacro,12812,6267.876567881298
041,11,coxal_izquierdo,428736,209745.8888703681
041,12,coxal_izquierdo,4486,2194.6373933433892
041,13,coxal_izquierdo,184763,90389.6096090737
041,14,coxal_izquierdo,45708,22361.231826781015
041,21,coxal_derecho,632501,309431.64198107156
042,1,sacro,318199,183677.6834897701
042,11,coxal_izquierdo,491896,283942.80873882055
042,21,coxal_derecho,381059,219963.0872282072
042,22,coxal_derecho,42325,24431.748540078752
042,23,coxal_derecho,72694,41961.99712634341
043,1,sacro,288643,215112.4994354248
043,11,coxal_izquierdo,298627,222553.1205291748
043,12,coxal_izquierdo,108662,80980.84628295898
043,21,coxal_derecho,399981,298087.64680480957
043,22,coxal_derecho,24047,17921.135360717773
044,1,sacro,359140,171087.79873044434
044,11,coxal_izquierdo,635279,302635.42264765257
